"공공체육시설별","자치구별","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"축구장","종로구","개소","개소","","","1","1","1","1","1","1","1","1","1","1","1","1",
"축구장","종로구","면적","㎡","","","19790","19790","19790","19790","19790","19790","19790","19790","19790","19790","19790","19790",
"축구장","중구","개소","개소","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"축구장","중구","면적","㎡","","18968","18968","18968","18968","18968","18968","18968","18968","18968","3456","3456","3456","3456",
"축구장","용산구","개소","개소","4","4","4","4","4","4","4","4","4","4","4","3","3","3",
"축구장","용산구","면적","㎡","47260","47260","47260","47260","47260","47260","47260","47260","47260","47260","3224","38674","38674","38674",
"축구장","성동구","개소","개소","4","4","4","4","4","4","4","4","4","4","4","3","3","3",
"축구장","성동구","면적","㎡","39300","39300","39300","39300","39300","39300","39954","39954","39954","39954","5154","5154","5154","5154",
"축구장","광진구","개소","개소","3","3","3","3","3","3","3","3","3","3","3","3","3","3",
"축구장","광진구","면적","㎡","26816","26816","26816","26816","26816","26816","26816","26300","26300","26300","0","8198","8212","8212",
"축구장","동대문구","개소","개소","","","","","","","","","","","0","-","-","-",
"축구장","동대문구","면적","㎡","","","","","","","","","","","0","-","-","-",
"축구장","중랑구","개소","개소","2","2","2","2","2","1","3","3","3","3","3","3","3","3",
"축구장","중랑구","면적","㎡","21851","21851","21851","21851","21851","8547","30037","30037","30037","30037","8186","8186","30037","30037",
"축구장","성북구","개소","개소","2","2","2","2","2","2","2","2","2","2","2","2","3","3",
"축구장","성북구","면적","㎡","26530","26530","26530","26530","26530","26530","10487","10487","10487","10487","4496","6255","19453","19453",
"축구장","강북구","개소","개소","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"축구장","강북구","면적","㎡","33027","33027","33027","33027","33027","33027","33027","33027","33027","33027","621","12000","12000","12000",
"축구장","도봉구","개소","개소","2","2","2","2","2","2","2","2","2","2","2","2","2","2",
"축구장","도봉구","면적","㎡","15223","15223","15223","15223","15223","15223","15223","15378","56358","56358","15378","15378","15378","15378",
"축구장","노원구","개소","개소","4","4","4","4","4","4","4","4","4","4","4","5","4","4",
"축구장","노원구","면적","㎡","87712","87712","87712","87712","87712","87712","87712","87712","87712","87712","27267","32667","27291","27291",
"축구장","은평구","개소","개소","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"축구장","은평구","면적","㎡","9750","9750","9750","9750","9750","9750","9700","9700","9700","9700","9700","9700","9700","9700",
"축구장","서대문구","개소","개소","1","1","1","2","2","2","2","2","2","2","2","2","2","2",
